epoch,train_loss,train_ce_loss,train_tv_loss,val_loss,val_ce_loss,val_tv_loss,val_accuracy,val_precision,val_recall,val_f1,val_specificity,val_pred_active_ratio,val_pred_inactive_ratio,optimal_threshold
1,1.5059293165802956,0.1465018684665362,0.0009380709690352281,0.1003100676171016,0.1003100676171016,0.0,0.23236065573770492,0.11104508196721312,0.6113492779783394,0.18795088790233078,0.16792619303360443,80.0,20.0,-0.3847877
2,0.212458744396766,0.15527105554938317,0.0008650915134542932,0.09051209449535236,0.09051209449535236,0.0,0.23340983606557378,0.11170081967213115,0.6149593862815884,0.18906076581576026,0.1685399723799294,80.0,20.0,-0.36023754
3,0.20151824603478113,0.15384641227622828,0.0008108635413615654,0.0946454348450061,0.0946454348450061,0.0,0.24098360655737705,0.1164344262295082,0.6410198555956679,0.19707269700332963,0.172970692036213,80.0,20.0,-0.37112144
4,0.20591170887152355,0.15099301015337308,0.0007686330704018473,0.09380701649934053,0.09380701649934053,0.0,0.24068852459016393,0.11625,0.640004512635379,0.1967605438401776,0.17279806659505909,80.0,20.0,-0.36904168
5,0.2160748188694318,0.1551322960605224,0.0007301154274803897,0.15698156040161848,0.15698156040161848,0.0,0.352016393442623,0.14405776240336174,0.7000225631768953,0.23894333519456265,0.2928494706153138,70.61147540983606,29.388524590163932,-0.3492308
6,0.2054491639137268,0.1527870426575343,0.0007202639516132573,0.09307182661723346,0.09307182661723346,0.0,0.6200655737704918,0.23222571471336625,0.7001353790613718,0.3487692480611442,0.6064523553782415,43.80983606557377,56.19016393442623,-0.36696103
7,0.20967095692952473,0.152339489509662,0.0007086565853872647,0.12650160770863295,0.12650160770863295,0.0,0.5932786885245902,0.2188844228192652,0.7003610108303249,0.33353032826519097,0.5750728862973761,46.49508196721312,53.50491803278688,-0.35180867
8,0.18690884162982305,0.15326787754893303,0.0007125282834749668,0.0917871905840002,0.0917871905840002,0.0,0.5765245901639344,0.2112124719177616,0.7000225631768953,0.32451231630144867,0.5555278502378395,48.160655737704914,51.839344262295086,-0.36368284
9,0.18296283309658368,0.1529460024088621,0.0006916873933126529,0.08990251692011952,0.08990251692011952,0.0,0.665655737704918,0.25921904364167886,0.7002481949458483,0.3783717882288397,0.6597744360902256,39.25409836065574,60.745901639344254,-0.35894063
10,0.17567066326737404,0.15240950286388397,0.0006785250171863784,0.08984378009336069,0.08984378009336069,0.0,0.6729180327868852,0.26426566884939195,0.7011507220216606,0.38385522821320484,0.668117999079331,38.554098360655736,61.44590163934426,-0.35939386
11,0.20662907138466835,0.14818922107418378,0.000669056159676984,0.0966107428248506,0.0966107428248506,0.0,0.33559016393442626,0.14078275666477594,0.7000225631768953,0.23442074840854568,0.27363050483351237,72.25409836065573,27.74590163934426,-0.3786538
12,0.2189414121210575,0.14921957155068716,0.0007119082089047879,0.13286800793139264,0.13286800793139264,0.0,0.6414426229508197,0.2480827329769928,0.7225857400722022,0.3693558618303443,0.6276469234310266,42.32459016393443,57.67540983606557,-0.35262728
13,0.18262262245019276,0.1480707570910454,0.0007254197262227535,0.09451956590055488,0.09451956590055488,0.0,0.39054098360655737,0.1523708960538271,0.7000225631768953,0.2502672071309013,0.3379238913610557,66.75901639344262,33.24098360655738,-0.37865067
14,0.21045955965916316,0.1470077857375145,0.0007093796525926639,0.1437902576290071,0.1437902576290071,0.0,0.24885245901639344,0.12135245901639344,0.668095667870036,0.20539678135405104,0.17757403713365044,80.0,20.0,-0.36147088
15,0.21361843049526213,0.14618137379487356,0.0006865938717965037,0.09392510895850137,0.09392510895850137,0.0,0.2984918032786885,0.13390737623548707,0.7000225631768953,0.22481069526466432,0.23022479668559154,75.96393442622951,24.036065573770493,-0.37574518
16,0.22797298431396484,0.14027316123247147,0.0006999767249605308,0.18980316125089303,0.18980316125089303,0.0,0.5097540983606558,0.18549520193716182,0.7000225631768953,0.293276615857261,0.4774052478134111,54.837704918032784,45.162295081967216,-0.3588489
17,0.254744620497028,0.14048223166416088,0.0007147922723864515,0.41796585358679295,0.41796585358679295,0.0,0.5654098360655738,0.20644796380090497,0.7000225631768953,0.3188591983556012,0.5425234003375786,49.27213114754098,50.72786885245901,-0.32942903
