epoch,train_loss,train_ce_loss,train_tv_loss,val_loss,val_ce_loss,val_tv_loss,val_accuracy,val_precision,val_recall,val_f1,val_specificity,val_pred_active_ratio,val_pred_inactive_ratio,optimal_threshold
1,1.354533645324409,0.09092325996607542,0.0015663147423765622,0.14917009696364403,0.14917009696364403,0.0,0.37688333333333335,0.3193958333333333,0.7646765424709462,0.45058707695924993,0.18227328477384797,80.0,20.0,-0.26725557
2,0.16805512266000733,0.08132303773891181,0.0013696154055651277,0.12922115065157413,0.12922115065157413,0.0,0.4608,0.3601327846115368,0.7900144645618236,0.49473684210526314,0.2955870941903832,73.30166666666666,26.698333333333334,-0.2368819
3,0.13200415158644319,0.08657042821869254,0.0013498705520760268,0.14869248494505882,0.14869248494505882,0.0,0.33168333333333333,0.2911458333333333,0.6970422464960846,0.41073344207850226,0.14833170634026682,80.0,20.0,-0.24240284
4,0.12212425819598138,0.07861375133506954,0.0012994223725399934,0.17154948227107525,0.17154948227107525,0.0,0.30825,0.2765,0.6619781535238666,0.39007185998324734,0.1307351505594353,80.0,20.0,-0.2571301
5,0.161360357189551,0.08311926294118166,0.0012622232316061854,0.6223778128623962,0.6223778128623962,0.0,0.26755,0.2510625,0.6010773604668562,0.35418595423885735,0.1001727115716753,80.0,20.0,-0.24125585
6,0.1669071326032281,0.07799698843155056,0.001250872141099535,0.5640033781528473,0.5640033781528473,0.0,0.30155,0.2723125,0.6519527158461769,0.3841643521580038,0.12570398738454608,80.0,20.0,-0.24002148
7,0.14482606871752068,0.0738692149752751,0.0012371999546303414,0.4568161852657795,0.4568161852657795,0.0,0.3934166666666667,0.3297291666666667,0.7894159309691257,0.4651648077120898,0.1946884934044204,80.0,20.0,-0.23245613
8,0.1603579359361902,0.071787410590332,0.0012107068032491952,0.2067338451743126,0.2067338451743126,0.0,0.33018333333333333,0.29020833333333335,0.6947977455234675,0.4094108656997164,0.14720532652499313,80.0,20.0,-0.26489213
9,0.149332761997357,0.0740141118876636,0.0012031172300339676,0.1537499912083149,0.1537499912083149,0.0,0.30365,0.273625,0.6550950172078408,0.38601595908830405,0.12728091912592926,80.0,20.0,-0.24618234
10,0.16203411691822112,0.08155563566833735,0.001178226710180752,0.5669701099395752,0.5669701099395752,0.0,0.27131666666666665,0.2534166666666667,0.6067135517980947,0.3575070904789196,0.1030011764411404,80.0,20.0,-0.2778002
11,0.18420623685233295,0.07442460278980434,0.0011314640141790733,1.4015047550201416,1.4015047550201416,0.0,0.37448333333333333,0.3178958333333333,0.7610853409147589,0.44847095475319254,0.18047107706941004,80.0,20.0,-0.17554288
12,0.2345555229112506,0.0877055018208921,0.0011180914953001775,0.2754353806376457,0.2754353806376457,0.0,0.38421666666666665,0.32397916666666665,0.7756496583370742,0.4570530059222031,0.18778003053740833,80.0,20.0,-0.22945458
13,0.19540804252028465,0.08786698873154819,0.001170762967376504,0.14318217523396015,0.14318217523396015,0.0,0.36501666666666666,0.31197916666666664,0.7469200458875754,0.4401240282737439,0.17336236890190485,80.0,20.0,-0.27199537
14,0.1625870994757861,0.0873481878079474,0.0011848308859043755,0.1407743040472269,0.1407743040472269,0.0,0.34315,0.2983125,0.7142002094867574,0.42084380372966534,0.1569422542614703,80.0,20.0,-0.2800117
15,0.25343552604317665,0.0804251916706562,0.0011354558446328156,0.2955976836383343,0.2955976836383343,0.0,0.30688333333333334,0.2756458333333333,0.6599331637488154,0.3888668459492425,0.12970889339440814,80.0,20.0,-0.3002814
16,0.15023932582698762,0.06984085950534791,0.0011094883375335485,0.9286500513553619,0.9286500513553619,0.0,0.35928333333333334,0.3083958333333333,0.738341064392239,0.4350688474481624,0.1690570949413031,80.0,20.0,-0.2233202
17,0.17626936826854944,0.06921026099007577,0.0011112124775536358,0.8937920928001404,0.8937920928001404,0.0,0.38945,0.32725,0.7834804728415382,0.4616673279548561,0.19170984455958548,80.0,20.0,-0.19030428
