fold,best_epoch,best_val_f1,best_val_accuracy,best_val_precision,best_val_recall,optimal_threshold
1,4,0.3754652963072768,0.6891967213114754,0.26515609733401574,0.642937725631769,-0.5213053822517395
2,23,0.42222162176767813,0.6436166666666666,0.32282455995372283,0.6100570000780823,-0.5551068782806396
3,25,0.4216414115732736,0.6208666666666667,0.32215703795796263,0.6100198631648642,-0.6375157237052917
4,14,0.42803821685955074,0.5939166666666666,0.3296333791308121,0.6102001204738638,-0.49291396141052246
5,25,0.45657244145909137,0.5145833333333333,0.3647230668336016,0.6102548755548906,-0.5601727366447449
Mean ± Std,18.2 ± 8.2,0.4208 ± 0.0260,0.6124 ± 0.0581,0.3209 ± 0.0320,0.6167 ± 0.0131,-0.553 ± 0.049
